"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1558","Register a new user on mobile","","Mon May 25 11:55:10 UTC 2026","passed","Mon May 25 11:55:12 UTC 2026","","User Authentication on Mobile","Register a new user on mobile",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","1892","Verify order appears in order history after checkout","","Mon May 25 11:54:54 UTC 2026","passed","Mon May 25 11:54:56 UTC 2026","","Checkout on Mobile","Verify order appears in order history after checkout",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2048","Complete checkout flow on mobile","","Mon May 25 11:55:06 UTC 2026","passed","Mon May 25 11:55:08 UTC 2026","","Checkout on Mobile","Complete checkout flow on mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","631","Filter products by category","","Mon May 25 11:54:28 UTC 2026","passed","Mon May 25 11:54:29 UTC 2026","","Browse Products on Mobile","Filter products by category",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2063","Clear entire cart","","Mon May 25 11:54:36 UTC 2026","passed","Mon May 25 11:54:39 UTC 2026","","Shopping Cart on Mobile","Clear entire cart",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2092","Remove item from cart","","Mon May 25 11:54:34 UTC 2026","passed","Mon May 25 11:54:36 UTC 2026","","Shopping Cart on Mobile","Remove item from cart",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2072","Add product to cart from product page","","Mon May 25 11:55:04 UTC 2026","passed","Mon May 25 11:55:06 UTC 2026","","Shopping Cart on Mobile","Add product to cart from product page",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2041","Update quantity in cart","","Mon May 25 11:54:32 UTC 2026","passed","Mon May 25 11:54:34 UTC 2026","","Shopping Cart on Mobile","Update quantity in cart",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","991","Login with invalid credentials shows error","","Mon May 25 11:54:58 UTC 2026","passed","Mon May 25 11:54:59 UTC 2026","","User Authentication on Mobile","Login with invalid credentials shows error",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","1968","Cart persists after page refresh","","Mon May 25 11:54:39 UTC 2026","passed","Mon May 25 11:54:41 UTC 2026","","Shopping Cart on Mobile","Cart persists after page refresh",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","877","Search products by name","","Mon May 25 11:54:27 UTC 2026","passed","Mon May 25 11:54:28 UTC 2026","","Browse Products on Mobile","Search products by name",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1720","Successful login with valid credentials","","Mon May 25 11:55:08 UTC 2026","passed","Mon May 25 11:55:10 UTC 2026","","User Authentication on Mobile","Successful login with valid credentials",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","11876","Checkout with empty cart shows appropriate message","","Mon May 25 11:54:43 UTC 2026","passed","Mon May 25 11:54:54 UTC 2026","","Checkout on Mobile","Checkout with empty cart shows appropriate message",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","619","View product catalog on mobile","","Mon May 25 11:55:03 UTC 2026","passed","Mon May 25 11:55:03 UTC 2026","","Browse Products on Mobile","View product catalog on mobile",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1869","Logout from mobile","","Mon May 25 11:55:01 UTC 2026","passed","Mon May 25 11:55:03 UTC 2026","","User Authentication on Mobile","Logout from mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","628","Scroll through product list","","Mon May 25 11:54:30 UTC 2026","passed","Mon May 25 11:54:30 UTC 2026","","Browse Products on Mobile","Scroll through product list",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","892","View product details page","","Mon May 25 11:55:03 UTC 2026","passed","Mon May 25 11:55:04 UTC 2026","","Browse Products on Mobile","View product details page",""
