"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","2018","Logout from mobile","","Mon May 18 11:46:23 UTC 2026","passed","Mon May 18 11:46:25 UTC 2026","","User Authentication on Mobile","Logout from mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","704","Filter products by category","","Mon May 18 11:45:48 UTC 2026","passed","Mon May 18 11:45:49 UTC 2026","","Browse Products on Mobile","Filter products by category",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","703","View product catalog on mobile","","Mon May 18 11:46:25 UTC 2026","passed","Mon May 18 11:46:26 UTC 2026","","Browse Products on Mobile","View product catalog on mobile",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2097","Verify order appears in order history after checkout","","Mon May 18 11:46:16 UTC 2026","passed","Mon May 18 11:46:18 UTC 2026","","Checkout on Mobile","Verify order appears in order history after checkout",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1900","Successful login with valid credentials","","Mon May 18 11:46:31 UTC 2026","passed","Mon May 18 11:46:33 UTC 2026","","User Authentication on Mobile","Successful login with valid credentials",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","675","Scroll through product list","","Mon May 18 11:45:50 UTC 2026","passed","Mon May 18 11:45:51 UTC 2026","","Browse Products on Mobile","Scroll through product list",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2288","Add product to cart from product page","","Mon May 18 11:46:27 UTC 2026","passed","Mon May 18 11:46:29 UTC 2026","","Shopping Cart on Mobile","Add product to cart from product page",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2300","Clear entire cart","","Mon May 18 11:45:57 UTC 2026","passed","Mon May 18 11:46:00 UTC 2026","","Shopping Cart on Mobile","Clear entire cart",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2191","Remove item from cart","","Mon May 18 11:45:55 UTC 2026","passed","Mon May 18 11:45:57 UTC 2026","","Shopping Cart on Mobile","Remove item from cart",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2180","Complete checkout flow on mobile","","Mon May 18 11:46:29 UTC 2026","passed","Mon May 18 11:46:31 UTC 2026","","Checkout on Mobile","Complete checkout flow on mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","974","Search products by name","","Mon May 18 11:45:47 UTC 2026","passed","Mon May 18 11:45:48 UTC 2026","","Browse Products on Mobile","Search products by name",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2254","Update quantity in cart","","Mon May 18 11:45:53 UTC 2026","passed","Mon May 18 11:45:55 UTC 2026","","Shopping Cart on Mobile","Update quantity in cart",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1176","Login with invalid credentials shows error","","Mon May 18 11:46:20 UTC 2026","passed","Mon May 18 11:46:21 UTC 2026","","User Authentication on Mobile","Login with invalid credentials shows error",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2178","Cart persists after page refresh","","Mon May 18 11:46:00 UTC 2026","passed","Mon May 18 11:46:02 UTC 2026","","Shopping Cart on Mobile","Cart persists after page refresh",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","12046","Checkout with empty cart shows appropriate message","","Mon May 18 11:46:04 UTC 2026","passed","Mon May 18 11:46:16 UTC 2026","","Checkout on Mobile","Checkout with empty cart shows appropriate message",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1713","Register a new user on mobile","","Mon May 18 11:46:33 UTC 2026","passed","Mon May 18 11:46:35 UTC 2026","","User Authentication on Mobile","Register a new user on mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","1018","View product details page","","Mon May 18 11:46:26 UTC 2026","passed","Mon May 18 11:46:27 UTC 2026","","Browse Products on Mobile","View product details page",""
