"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","12189","Checkout with empty cart shows appropriate message","","2026-06-29","passed","2026-06-29","","Checkout on Mobile","Checkout with empty cart shows appropriate message",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","696","Scroll through product list","","2026-06-29","passed","2026-06-29","","Browse Products on Mobile","Scroll through product list",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2225","Cart persists after page refresh","","2026-06-29","passed","2026-06-29","","Shopping Cart on Mobile","Cart persists after page refresh",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1753","Register a new user on mobile","","2026-06-29","passed","2026-06-29","","User Authentication on Mobile","Register a new user on mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","702","View product catalog on mobile","","2026-06-29","passed","2026-06-29","","Browse Products on Mobile","View product catalog on mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","1010","Search products by name","","2026-06-29","passed","2026-06-29","","Browse Products on Mobile","Search products by name",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2241","Verify order appears in order history after checkout","","2026-06-29","passed","2026-06-29","","Checkout on Mobile","Verify order appears in order history after checkout",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2322","Update quantity in cart","","2026-06-29","passed","2026-06-29","","Shopping Cart on Mobile","Update quantity in cart",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2313","Complete checkout flow on mobile","","2026-06-29","passed","2026-06-29","","Checkout on Mobile","Complete checkout flow on mobile",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2314","Clear entire cart","","2026-06-29","passed","2026-06-29","","Shopping Cart on Mobile","Clear entire cart",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1974","Successful login with valid credentials","","2026-06-29","passed","2026-06-29","","User Authentication on Mobile","Successful login with valid credentials",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1092","Login with invalid credentials shows error","","2026-06-29","passed","2026-06-29","","User Authentication on Mobile","Login with invalid credentials shows error",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","1032","View product details page","","2026-06-29","passed","2026-06-29","","Browse Products on Mobile","View product details page",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","2103","Logout from mobile","","2026-06-29","passed","2026-06-29","","User Authentication on Mobile","Logout from mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","713","Filter products by category","","2026-06-29","passed","2026-06-29","","Browse Products on Mobile","Filter products by category",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2333","Remove item from cart","","2026-06-29","passed","2026-06-29","","Shopping Cart on Mobile","Remove item from cart",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2259","Add product to cart from product page","","2026-06-29","passed","2026-06-29","","Shopping Cart on Mobile","Add product to cart from product page",""
