"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","1068","View product details page","","Mon Apr 27 10:18:01 UTC 2026","passed","Mon Apr 27 10:18:03 UTC 2026","","Browse Products on Mobile","View product details page",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","12128","Checkout with empty cart shows appropriate message","","Mon Apr 27 10:17:39 UTC 2026","passed","Mon Apr 27 10:17:51 UTC 2026","","Checkout on Mobile","Checkout with empty cart shows appropriate message",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","1060","Search products by name","","Mon Apr 27 10:17:22 UTC 2026","passed","Mon Apr 27 10:17:23 UTC 2026","","Browse Products on Mobile","Search products by name",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","777","View product catalog on mobile","","Mon Apr 27 10:18:01 UTC 2026","passed","Mon Apr 27 10:18:01 UTC 2026","","Browse Products on Mobile","View product catalog on mobile",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2297","Clear entire cart","","Mon Apr 27 10:17:32 UTC 2026","passed","Mon Apr 27 10:17:35 UTC 2026","","Shopping Cart on Mobile","Clear entire cart",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2258","Verify order appears in order history after checkout","","Mon Apr 27 10:17:51 UTC 2026","passed","Mon Apr 27 10:17:54 UTC 2026","","Checkout on Mobile","Verify order appears in order history after checkout",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","2105","Logout from mobile","","Mon Apr 27 10:17:59 UTC 2026","passed","Mon Apr 27 10:18:01 UTC 2026","","User Authentication on Mobile","Logout from mobile",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1188","Login with invalid credentials shows error","","Mon Apr 27 10:17:56 UTC 2026","passed","Mon Apr 27 10:17:57 UTC 2026","","User Authentication on Mobile","Login with invalid credentials shows error",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1814","Register a new user on mobile","","Mon Apr 27 10:18:09 UTC 2026","passed","Mon Apr 27 10:18:11 UTC 2026","","User Authentication on Mobile","Register a new user on mobile",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1964","Successful login with valid credentials","","Mon Apr 27 10:18:07 UTC 2026","passed","Mon Apr 27 10:18:09 UTC 2026","","User Authentication on Mobile","Successful login with valid credentials",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2385","Add product to cart from product page","","Mon Apr 27 10:18:03 UTC 2026","passed","Mon Apr 27 10:18:05 UTC 2026","","Shopping Cart on Mobile","Add product to cart from product page",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2305","Remove item from cart","","Mon Apr 27 10:17:30 UTC 2026","passed","Mon Apr 27 10:17:32 UTC 2026","","Shopping Cart on Mobile","Remove item from cart",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","744","Filter products by category","","Mon Apr 27 10:17:23 UTC 2026","passed","Mon Apr 27 10:17:24 UTC 2026","","Browse Products on Mobile","Filter products by category",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2216","Cart persists after page refresh","","Mon Apr 27 10:17:35 UTC 2026","passed","Mon Apr 27 10:17:37 UTC 2026","","Shopping Cart on Mobile","Cart persists after page refresh",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","711","Scroll through product list","","Mon Apr 27 10:17:25 UTC 2026","passed","Mon Apr 27 10:17:25 UTC 2026","","Browse Products on Mobile","Scroll through product list",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2342","Complete checkout flow on mobile","","Mon Apr 27 10:18:05 UTC 2026","passed","Mon Apr 27 10:18:07 UTC 2026","","Checkout on Mobile","Complete checkout flow on mobile",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2342","Update quantity in cart","","Mon Apr 27 10:17:28 UTC 2026","passed","Mon Apr 27 10:17:30 UTC 2026","","Shopping Cart on Mobile","Update quantity in cart",""
