"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","719","View product catalog on mobile","","Mon May 11 11:22:45 UTC 2026","passed","Mon May 11 11:22:45 UTC 2026","","Browse Products on Mobile","View product catalog on mobile",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2393","Add product to cart from product page","","Mon May 11 11:22:47 UTC 2026","passed","Mon May 11 11:22:49 UTC 2026","","Shopping Cart on Mobile","Add product to cart from product page",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2279","Cart persists after page refresh","","Mon May 11 11:22:19 UTC 2026","passed","Mon May 11 11:22:21 UTC 2026","","Shopping Cart on Mobile","Cart persists after page refresh",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1818","Register a new user on mobile","","Mon May 11 11:22:53 UTC 2026","passed","Mon May 11 11:22:55 UTC 2026","","User Authentication on Mobile","Register a new user on mobile",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","2023","Successful login with valid credentials","","Mon May 11 11:22:51 UTC 2026","passed","Mon May 11 11:22:53 UTC 2026","","User Authentication on Mobile","Successful login with valid credentials",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2337","Update quantity in cart","","Mon May 11 11:22:12 UTC 2026","passed","Mon May 11 11:22:14 UTC 2026","","Shopping Cart on Mobile","Update quantity in cart",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","1023","View product details page","","Mon May 11 11:22:45 UTC 2026","passed","Mon May 11 11:22:47 UTC 2026","","Browse Products on Mobile","View product details page",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2335","Complete checkout flow on mobile","","Mon May 11 11:22:49 UTC 2026","passed","Mon May 11 11:22:51 UTC 2026","","Checkout on Mobile","Complete checkout flow on mobile",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2375","Remove item from cart","","Mon May 11 11:22:14 UTC 2026","passed","Mon May 11 11:22:16 UTC 2026","","Shopping Cart on Mobile","Remove item from cart",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","12142","Checkout with empty cart shows appropriate message","","Mon May 11 11:22:23 UTC 2026","passed","Mon May 11 11:22:35 UTC 2026","","Checkout on Mobile","Checkout with empty cart shows appropriate message",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","738","Filter products by category","","Mon May 11 11:22:07 UTC 2026","passed","Mon May 11 11:22:07 UTC 2026","","Browse Products on Mobile","Filter products by category",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2347","Clear entire cart","","Mon May 11 11:22:16 UTC 2026","passed","Mon May 11 11:22:19 UTC 2026","","Shopping Cart on Mobile","Clear entire cart",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2271","Verify order appears in order history after checkout","","Mon May 11 11:22:35 UTC 2026","passed","Mon May 11 11:22:38 UTC 2026","","Checkout on Mobile","Verify order appears in order history after checkout",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","1048","Search products by name","","Mon May 11 11:22:06 UTC 2026","passed","Mon May 11 11:22:07 UTC 2026","","Browse Products on Mobile","Search products by name",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","720","Scroll through product list","","Mon May 11 11:22:08 UTC 2026","passed","Mon May 11 11:22:09 UTC 2026","","Browse Products on Mobile","Scroll through product list",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1124","Login with invalid credentials shows error","","Mon May 11 11:22:40 UTC 2026","passed","Mon May 11 11:22:41 UTC 2026","","User Authentication on Mobile","Login with invalid credentials shows error",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","2150","Logout from mobile","","Mon May 11 11:22:43 UTC 2026","passed","Mon May 11 11:22:45 UTC 2026","","User Authentication on Mobile","Logout from mobile",""
