"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2238","Remove item from cart","","Mon May 04 10:14:58 UTC 2026","passed","Mon May 04 10:15:01 UTC 2026","","Shopping Cart on Mobile","Remove item from cart",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2251","Clear entire cart","","Mon May 04 10:15:01 UTC 2026","passed","Mon May 04 10:15:03 UTC 2026","","Shopping Cart on Mobile","Clear entire cart",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1693","Register a new user on mobile","","Mon May 04 10:15:36 UTC 2026","passed","Mon May 04 10:15:38 UTC 2026","","User Authentication on Mobile","Register a new user on mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","984","View product details page","","Mon May 04 10:15:29 UTC 2026","passed","Mon May 04 10:15:30 UTC 2026","","Browse Products on Mobile","View product details page",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1094","Login with invalid credentials shows error","","Mon May 04 10:15:23 UTC 2026","passed","Mon May 04 10:15:24 UTC 2026","","User Authentication on Mobile","Login with invalid credentials shows error",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2202","Complete checkout flow on mobile","","Mon May 04 10:15:32 UTC 2026","passed","Mon May 04 10:15:34 UTC 2026","","Checkout on Mobile","Complete checkout flow on mobile",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1873","Successful login with valid credentials","","Mon May 04 10:15:34 UTC 2026","passed","Mon May 04 10:15:36 UTC 2026","","User Authentication on Mobile","Successful login with valid credentials",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","2008","Logout from mobile","","Mon May 04 10:15:26 UTC 2026","passed","Mon May 04 10:15:28 UTC 2026","","User Authentication on Mobile","Logout from mobile",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2234","Update quantity in cart","","Mon May 04 10:14:56 UTC 2026","passed","Mon May 04 10:14:58 UTC 2026","","Shopping Cart on Mobile","Update quantity in cart",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2267","Add product to cart from product page","","Mon May 04 10:15:30 UTC 2026","passed","Mon May 04 10:15:32 UTC 2026","","Shopping Cart on Mobile","Add product to cart from product page",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","718","Scroll through product list","","Mon May 04 10:14:53 UTC 2026","passed","Mon May 04 10:14:54 UTC 2026","","Browse Products on Mobile","Scroll through product list",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","706","Filter products by category","","Mon May 04 10:14:51 UTC 2026","passed","Mon May 04 10:14:52 UTC 2026","","Browse Products on Mobile","Filter products by category",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2157","Cart persists after page refresh","","Mon May 04 10:15:03 UTC 2026","passed","Mon May 04 10:15:05 UTC 2026","","Shopping Cart on Mobile","Cart persists after page refresh",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","12062","Checkout with empty cart shows appropriate message","","Mon May 04 10:15:07 UTC 2026","passed","Mon May 04 10:15:19 UTC 2026","","Checkout on Mobile","Checkout with empty cart shows appropriate message",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","1069","Search products by name","","Mon May 04 10:14:50 UTC 2026","passed","Mon May 04 10:14:51 UTC 2026","","Browse Products on Mobile","Search products by name",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2127","Verify order appears in order history after checkout","","Mon May 04 10:15:19 UTC 2026","passed","Mon May 04 10:15:21 UTC 2026","","Checkout on Mobile","Verify order appears in order history after checkout",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","703","View product catalog on mobile","","Mon May 04 10:15:28 UTC 2026","passed","Mon May 04 10:15:29 UTC 2026","","Browse Products on Mobile","View product catalog on mobile",""
