"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1239","Login with invalid credentials shows error","","2026-07-06","passed","2026-07-06","","User Authentication on Mobile","Login with invalid credentials shows error",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","823","View product catalog on mobile","","2026-07-06","passed","2026-07-06","","Browse Products on Mobile","View product catalog on mobile",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2313","Complete checkout flow on mobile","","2026-07-06","passed","2026-07-06","","Checkout on Mobile","Complete checkout flow on mobile",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","2109","Logout from mobile","","2026-07-06","passed","2026-07-06","","User Authentication on Mobile","Logout from mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","897","Filter products by category","","2026-07-06","passed","2026-07-06","","Browse Products on Mobile","Filter products by category",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","1129","View product details page","","2026-07-06","passed","2026-07-06","","Browse Products on Mobile","View product details page",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1857","Register a new user on mobile","","2026-07-06","passed","2026-07-06","","User Authentication on Mobile","Register a new user on mobile",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2243","Cart persists after page refresh","","2026-07-06","passed","2026-07-06","","Shopping Cart on Mobile","Cart persists after page refresh",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2185","Verify order appears in order history after checkout","","2026-07-06","passed","2026-07-06","","Checkout on Mobile","Verify order appears in order history after checkout",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2309","Add product to cart from product page","","2026-07-06","passed","2026-07-06","","Shopping Cart on Mobile","Add product to cart from product page",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2366","Remove item from cart","","2026-07-06","passed","2026-07-06","","Shopping Cart on Mobile","Remove item from cart",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2364","Clear entire cart","","2026-07-06","passed","2026-07-06","","Shopping Cart on Mobile","Clear entire cart",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","1167","Search products by name","","2026-07-06","passed","2026-07-06","","Browse Products on Mobile","Search products by name",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","2006","Successful login with valid credentials","","2026-07-06","passed","2026-07-06","","User Authentication on Mobile","Successful login with valid credentials",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","12171","Checkout with empty cart shows appropriate message","","2026-07-06","passed","2026-07-06","","Checkout on Mobile","Checkout with empty cart shows appropriate message",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2376","Update quantity in cart","","2026-07-06","passed","2026-07-06","","Shopping Cart on Mobile","Update quantity in cart",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","820","Scroll through product list","","2026-07-06","passed","2026-07-06","","Browse Products on Mobile","Scroll through product list",""
