"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2241","Remove item from cart","","Mon Apr 20 10:00:03 UTC 2026","passed","Mon Apr 20 10:00:06 UTC 2026","","Shopping Cart on Mobile","Remove item from cart",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","12074","Checkout with empty cart shows appropriate message","","Mon Apr 20 10:00:12 UTC 2026","passed","Mon Apr 20 10:00:24 UTC 2026","","Checkout on Mobile","Checkout with empty cart shows appropriate message",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","688","Scroll through product list","","Mon Apr 20 09:59:58 UTC 2026","passed","Mon Apr 20 09:59:59 UTC 2026","","Browse Products on Mobile","Scroll through product list",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","699","View product catalog on mobile","","Mon Apr 20 10:00:33 UTC 2026","passed","Mon Apr 20 10:00:34 UTC 2026","","Browse Products on Mobile","View product catalog on mobile",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1708","Register a new user on mobile","","Mon Apr 20 10:00:41 UTC 2026","passed","Mon Apr 20 10:00:43 UTC 2026","","User Authentication on Mobile","Register a new user on mobile",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1870","Successful login with valid credentials","","Mon Apr 20 10:00:39 UTC 2026","passed","Mon Apr 20 10:00:41 UTC 2026","","User Authentication on Mobile","Successful login with valid credentials",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2065","Verify order appears in order history after checkout","","Mon Apr 20 10:00:24 UTC 2026","passed","Mon Apr 20 10:00:26 UTC 2026","","Checkout on Mobile","Verify order appears in order history after checkout",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2154","Cart persists after page refresh","","Mon Apr 20 10:00:08 UTC 2026","passed","Mon Apr 20 10:00:10 UTC 2026","","Shopping Cart on Mobile","Cart persists after page refresh",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2233","Update quantity in cart","","Mon Apr 20 10:00:01 UTC 2026","passed","Mon Apr 20 10:00:03 UTC 2026","","Shopping Cart on Mobile","Update quantity in cart",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2216","Add product to cart from product page","","Mon Apr 20 10:00:35 UTC 2026","passed","Mon Apr 20 10:00:37 UTC 2026","","Shopping Cart on Mobile","Add product to cart from product page",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2216","Clear entire cart","","Mon Apr 20 10:00:06 UTC 2026","passed","Mon Apr 20 10:00:08 UTC 2026","","Shopping Cart on Mobile","Clear entire cart",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","991","Search products by name","","Mon Apr 20 09:59:56 UTC 2026","passed","Mon Apr 20 09:59:57 UTC 2026","","Browse Products on Mobile","Search products by name",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1081","Login with invalid credentials shows error","","Mon Apr 20 10:00:28 UTC 2026","passed","Mon Apr 20 10:00:29 UTC 2026","","User Authentication on Mobile","Login with invalid credentials shows error",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","1005","View product details page","","Mon Apr 20 10:00:34 UTC 2026","passed","Mon Apr 20 10:00:35 UTC 2026","","Browse Products on Mobile","View product details page",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2207","Complete checkout flow on mobile","","Mon Apr 20 10:00:37 UTC 2026","passed","Mon Apr 20 10:00:39 UTC 2026","","Checkout on Mobile","Complete checkout flow on mobile",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","2011","Logout from mobile","","Mon Apr 20 10:00:31 UTC 2026","passed","Mon Apr 20 10:00:33 UTC 2026","","User Authentication on Mobile","Logout from mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","727","Filter products by category","","Mon Apr 20 09:59:57 UTC 2026","passed","Mon Apr 20 09:59:57 UTC 2026","","Browse Products on Mobile","Filter products by category",""
