"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2112","Cart persists after page refresh","","Sun Mar 08 20:26:44 UTC 2026","passed","Sun Mar 08 20:26:46 UTC 2026","","Shopping Cart on Mobile","Cart persists after page refresh",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2231","Add product to cart from product page","","Sun Mar 08 20:27:11 UTC 2026","passed","Sun Mar 08 20:27:13 UTC 2026","","Shopping Cart on Mobile","Add product to cart from product page",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2221","Remove item from cart","","Sun Mar 08 20:26:39 UTC 2026","passed","Sun Mar 08 20:26:42 UTC 2026","","Shopping Cart on Mobile","Remove item from cart",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","726","View product catalog on mobile","","Sun Mar 08 20:27:09 UTC 2026","passed","Sun Mar 08 20:27:10 UTC 2026","","Browse Products on Mobile","View product catalog on mobile",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2198","Clear entire cart","","Sun Mar 08 20:26:42 UTC 2026","passed","Sun Mar 08 20:26:44 UTC 2026","","Shopping Cart on Mobile","Clear entire cart",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1899","Successful login with valid credentials","","Sun Mar 08 20:27:15 UTC 2026","passed","Sun Mar 08 20:27:17 UTC 2026","","User Authentication on Mobile","Successful login with valid credentials",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","710","Scroll through product list","","Sun Mar 08 20:26:34 UTC 2026","passed","Sun Mar 08 20:26:34 UTC 2026","","Browse Products on Mobile","Scroll through product list",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2079","Verify order appears in order history after checkout","","Sun Mar 08 20:27:00 UTC 2026","passed","Sun Mar 08 20:27:02 UTC 2026","","Checkout on Mobile","Verify order appears in order history after checkout",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1110","Login with invalid credentials shows error","","Sun Mar 08 20:27:04 UTC 2026","passed","Sun Mar 08 20:27:05 UTC 2026","","User Authentication on Mobile","Login with invalid credentials shows error",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1989","Logout from mobile","","Sun Mar 08 20:27:07 UTC 2026","passed","Sun Mar 08 20:27:09 UTC 2026","","User Authentication on Mobile","Logout from mobile",""
"  As a mobile user
  I want to login and register on the shop
  So that I can access my account and make purchases","1697","Register a new user on mobile","","Sun Mar 08 20:27:17 UTC 2026","passed","Sun Mar 08 20:27:19 UTC 2026","","User Authentication on Mobile","Register a new user on mobile",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","705","Filter products by category","","Sun Mar 08 20:26:32 UTC 2026","passed","Sun Mar 08 20:26:33 UTC 2026","","Browse Products on Mobile","Filter products by category",""
"  As a logged-in mobile user
  I want to manage my shopping cart
  So that I can prepare items for checkout","2709","Update quantity in cart","","Sun Mar 08 20:26:37 UTC 2026","passed","Sun Mar 08 20:26:39 UTC 2026","","Shopping Cart on Mobile","Update quantity in cart",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","971","Search products by name","","Sun Mar 08 20:26:31 UTC 2026","passed","Sun Mar 08 20:26:32 UTC 2026","","Browse Products on Mobile","Search products by name",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","12030","Checkout with empty cart shows appropriate message","","Sun Mar 08 20:26:48 UTC 2026","passed","Sun Mar 08 20:27:00 UTC 2026","","Checkout on Mobile","Checkout with empty cart shows appropriate message",""
"  As a mobile user
  I want to browse and search products
  So that I can find items I want to purchase","980","View product details page","","Sun Mar 08 20:27:10 UTC 2026","passed","Sun Mar 08 20:27:11 UTC 2026","","Browse Products on Mobile","View product details page",""
"  As a logged-in mobile user
  I want to complete the checkout process
  So that I can place orders from my mobile device","2273","Complete checkout flow on mobile","","Sun Mar 08 20:27:13 UTC 2026","passed","Sun Mar 08 20:27:15 UTC 2026","","Checkout on Mobile","Complete checkout flow on mobile",""
